Resource,Start,End,Track,Train
1,159.66,160.66,119,3
3,159.92,160.92,120,0
4,151.52,151.52,122,5
5,151.52,162.42,122,5
12,129.05,151.52,98,5
13,129.05,133.00,98,5
2,161.68,162.68,122,5
6,157.03,157.03,123,9
7,157.03,163.63,123,9
10,138.36,157.03,105,9
11,138.36,144.28,105,9
1,163.05,164.05,123,9
8,136.77,136.77,125,10
9,136.77,165.17,125,10
12,115.06,136.77,88,10
13,115.06,119.01,88,10
3,165.16,166.16,125,10
2,166.24,167.24,126,0
6,120.88,120.88,127,7
7,120.88,167.58,127,7
16,101.15,120.88,78,7
15,101.15,105.45,78,7
1,166.60,167.60,127,7
4,107.27,107.27,2,13
5,107.27,168.67,2,13
10,86.84,107.27,66,13
11,86.84,92.75,66,13
1,168.01,169.01,1,0
2,168.65,169.65,2,13
8,154.84,154.84,3,4
9,154.84,170.44,3,4
12,134.93,154.84,103,4
13,134.93,138.88,103,4
3,170.43,171.43,3,4
6,163.27,163.27,4,8
7,163.27,171.57,4,8
12,139.44,163.27,107,8
13,139.44,143.39,107,8
1,171.49,172.49,4,8
2,173.03,174.03,5,0
6,173.73,173.73,6,2
7,173.73,175.53,6,2
10,156.50,173.73,118,2
11,156.50,162.42,118,2
1,174.93,175.93,6,2
8,169.68,169.68,7,6
9,169.68,176.48,7,6
12,149.27,169.68,113,6
13,149.27,153.22,113,6
3,176.44,177.44,7,6
4,166.49,166.49,8,11
5,166.49,178.29,8,11
12,145.24,166.49,110,11
13,145.24,149.19,110,11
2,178.28,179.28,8,11
6,176.62,176.62,10,12
7,176.62,179.82,10,12
12,153.58,176.62,116,12
13,153.58,157.53,116,12
1,179.82,180.82,10,12
2,181.19,182.19,11,0
8,179.36,179.36,13,3
9,179.36,183.16,13,3
12,159.67,179.36,119,3
13,159.67,163.62,119,3
3,183.13,184.13,13,3
6,180.70,180.70,14,5
7,180.70,185.20,14,5
10,162.42,180.70,122,5
11,162.42,168.33,122,5
4,164.90,164.90,15,1
5,164.90,186.00,15,1
10,146.97,164.90,112,1
11,146.97,152.88,112,1
1,185.17,186.17,14,5
2,186.00,187.00,15,1
8,186.88,186.88,16,9
9,186.88,187.48,16,9
12,163.63,186.88,123,9
13,163.63,167.58,123,9
3,187.19,188.19,16,9
6,187.73,187.73,17,13
7,187.73,189.23,17,13
10,168.67,187.73,2,13
11,168.67,174.59,2,13
1,188.57,189.57,17,13
3,190.77,191.77,18,0
4,190.88,190.88,19,7
5,190.88,192.08,19,7
12,167.58,190.88,127,7
13,167.58,171.53,127,7
2,192.04,193.04,19,7
6,191.39,191.39,20,4
7,191.39,193.29,20,4
16,170.44,191.39,3,4
15,170.44,174.74,3,4
1,193.28,194.28,20,4
2,195.55,196.55,21,0
6,197.13,197.13,22,2
7,197.13,197.33,22,2
12,175.53,197.13,6,2
13,175.53,179.48,6,2
1,196.51,197.51,22,2
3,197.56,198.56,23,0
1,198.83,199.83,24,0
4,198.82,198.82,26,6
5,198.82,200.62,26,6
16,176.48,198.82,7,6
15,176.48,180.78,7,6
3,200.25,201.25,25,0
2,200.60,201.60,26,6
6,202.20,202.20,27,12
7,202.20,202.30,27,12
12,179.82,202.20,10,12
13,179.82,183.77,10,12
1,202.24,203.24,27,12
3,204.60,205.60,29,0
2,205.11,206.11,30,0
6,203.80,203.80,31,3
7,203.80,207.20,31,3
16,183.16,203.80,13,3
15,183.16,187.46,13,3
1,207.20,208.20,31,3
4,207.92,207.92,33,9
5,207.92,210.22,33,9
16,187.48,207.92,16,9
15,187.48,191.78,16,9
3,209.53,210.53,32,0
2,210.19,211.19,33,9
6,188.03,188.03,34,10
7,188.03,211.83,34,10
16,165.17,188.03,125,10
15,165.17,169.47,125,10
1,211.82,212.82,34,10
3,213.84,214.84,35,0
6,206.08,206.08,37,5
7,206.08,215.78,37,5
12,185.20,206.08,14,5
13,185.20,189.15,14,5
2,214.93,215.93,36,0
1,215.56,216.56,37,5
3,218.18,219.18,38,0
1,218.67,219.67,39,0
4,192.83,192.83,40,8
5,192.83,219.73,40,8
12,171.57,192.83,4,8
13,171.57,175.52,4,8
2,219.72,220.72,40,8
6,205.23,205.23,42,1
7,205.23,222.13,42,1
10,186.00,205.23,15,1
11,186.00,191.92,15,1
1,222.13,223.13,42,1
3,222.99,223.99,43,0
4,211.65,211.65,44,7
5,211.65,225.65,44,7
10,192.08,211.65,19,7
11,192.08,197.99,19,7
2,225.07,226.07,44,7
6,219.39,219.39,45,2
7,219.39,226.09,45,2
12,197.33,219.39,22,2
13,197.33,201.28,22,2
1,226.07,227.07,45,2
3,227.29,228.29,46,0
6,215.35,217.85,48,4
7,217.85,230.05,48,4
12,193.29,215.35,20,4
13,193.29,197.24,20,4
1,229.49,230.49,48,4
2,229.84,230.84,49,0
3,231.68,232.68,50,0
1,233.00,234.00,51,0
4,197.64,197.64,52,11
5,197.64,234.64,52,11
10,178.29,197.64,8,11
11,178.29,184.20,8,11
2,234.62,235.62,52,11
3,236.03,237.03,53,0
6,232.30,232.30,54,10
7,232.30,237.10,54,10
12,211.83,232.30,34,10
13,211.83,215.78,34,10
1,237.08,238.08,54,10
3,239.38,240.38,55,0
4,223.27,223.27,56,12
5,223.27,240.57,56,12
12,202.30,223.27,27,12
13,202.30,206.25,27,12
6,212.57,212.57,57,13
7,212.57,241.07,57,13
12,189.23,212.57,17,13
13,189.23,193.18,17,13
2,240.38,241.38,56,12
1,240.61,241.61,57,13
1,244.01,245.01,58,0
2,245.11,246.11,59,0
3,245.46,246.46,60,0
6,228.25,230.75,61,3
7,230.75,247.45,61,3
12,207.20,228.25,31,3
13,207.20,211.15,31,3
1,247.45,248.45,61,3
4,248.50,248.50,62,2
5,248.50,248.90,62,2
12,226.09,248.50,45,2
13,226.09,230.04,45,2
2,248.88,249.88,62,2
3,249.51,250.51,63,0
6,244.00,244.00,64,1
7,244.00,251.40,64,1
12,222.13,244.00,42,1
13,222.13,226.08,42,1
1,250.90,251.90,64,1
3,253.34,254.34,65,0
4,244.42,246.92,66,7
5,246.92,254.82,66,7
10,225.65,244.42,44,7
11,225.65,231.57,44,7
2,254.54,255.54,66,7
6,236.81,239.31,67,5
7,239.31,255.61,67,5
12,215.78,236.81,37,5
13,215.78,219.73,37,5
1,255.59,256.59,67,5
3,257.68,258.68,69,0
1,258.34,259.34,70,0
2,259.36,260.36,72,0
6,254.57,254.57,73,4
7,254.57,261.77,73,4
12,230.05,254.57,48,4
13,230.05,234.00,48,4
1,261.76,262.76,73,4
3,263.07,264.07,74,0
3,264.34,265.34,75,0
6,227.34,227.34,76,9
7,227.34,266.24,76,9
10,210.22,227.34,33,9
11,210.22,216.14,33,9
1,266.24,267.24,76,9
4,218.41,218.41,77,6
5,218.41,267.41,77,6
10,200.62,218.41,26,6
11,200.62,206.54,26,6
2,267.40,268.40,77,6
3,269.10,270.10,78,0
6,269.35,269.35,79,3
7,269.35,270.95,79,3
12,247.45,269.35,61,3
13,247.45,251.40,61,3
1,270.94,271.94,79,3
2,271.73,272.73,80,0
4,273.51,273.51,81,1
5,273.51,273.91,81,1
12,251.40,273.51,64,1
13,251.40,255.35,64,1
6,257.33,257.33,82,10
7,257.33,274.93,82,10
12,237.10,257.33,54,10
13,237.10,241.05,54,10
2,273.90,274.90,81,1
1,274.36,275.36,82,10
3,277.23,278.23,83,0
6,276.51,276.51,84,5
7,276.51,278.91,84,5
12,255.61,276.51,67,5
13,255.61,259.56,67,5
1,278.08,279.08,84,5
4,262.53,262.53,85,13
5,262.53,280.43,85,13
12,241.07,262.53,57,13
13,241.07,245.02,57,13
2,280.39,281.39,85,13
6,237.24,237.24,88,8
7,237.24,283.04,88,8
10,219.73,237.24,40,8
11,219.73,225.65,40,8
3,282.10,283.10,87,0
1,283.03,284.03,88,8
2,285.17,286.17,89,0
1,285.95,286.95,90,0
3,286.30,287.30,91,0
6,258.44,260.94,92,12
7,260.94,289.14,92,12
10,240.57,258.44,56,12
11,240.57,246.49,56,12
1,289.12,290.12,92,12
4,288.05,288.05,93,9
5,288.05,290.45,93,9
12,266.24,288.05,76,9
13,266.24,270.19,76,9
8,283.81,283.81,94,4
9,283.81,291.31,94,4
12,261.77,283.81,73,4
13,261.77,265.72,73,4
2,290.44,291.44,93,9
3,291.31,292.31,94,4
6,252.24,252.24,95,11
7,252.24,293.14,95,11
10,234.64,252.24,52,11
11,234.64,240.56,52,11
1,292.58,293.58,95,11
8,292.84,292.84,97,1
9,292.84,295.84,97,1
10,273.91,292.84,81,1
11,273.91,279.82,81,1
2,295.19,296.19,96,0
3,295.83,296.83,97,1
6,293.25,293.25,98,3
7,293.25,297.15,98,3
12,270.95,293.25,79,3
13,270.95,274.90,79,3
1,296.19,297.19,98,3
4,298.64,298.64,101,13
5,298.64,300.44,101,13
10,280.43,298.64,85,13
11,280.43,286.35,85,13
1,299.47,300.47,100,0
2,300.42,301.42,101,13
8,300.95,300.95,102,5
9,300.95,301.75,102,5
12,278.91,300.95,84,5
13,278.91,282.86,84,5
3,301.75,302.75,102,5
6,271.97,271.97,103,7
7,271.97,302.97,103,7
10,254.82,271.97,66,7
11,254.82,260.74,66,7
1,302.92,303.92,103,7
3,304.77,305.77,104,0
4,267.78,267.78,105,2
5,267.78,306.38,105,2
10,248.90,267.78,62,2
11,248.90,254.81,62,2
2,306.01,307.01,105,2
6,296.88,296.88,107,10
7,296.88,307.48,107,10
12,274.93,296.88,82,10
13,274.93,278.88,82,10
1,307.41,308.41,107,10
8,285.28,285.28,108,6
9,285.28,309.38,108,6
10,267.41,285.28,77,6
11,267.41,273.33,77,6
3,309.37,310.37,108,6
2,309.97,310.97,109,0
6,305.71,305.71,110,8
7,305.71,313.21,110,8
12,283.04,305.71,88,8
13,283.04,286.99,88,8
8,312.79,312.79,111,4
9,312.79,313.89,111,4
16,291.31,312.79,94,4
15,291.31,295.61,94,4
1,313.20,314.20,110,8
4,309.57,309.57,112,12
5,309.57,314.97,112,12
12,289.14,309.57,92,12
13,289.14,293.09,92,12
3,313.89,314.89,111,4
2,314.91,315.91,112,12
6,308.97,308.97,113,9
7,308.97,317.17,113,9
10,290.45,308.97,93,9
11,290.45,296.37,93,9
1,316.63,317.63,113,9
8,315.31,315.31,114,1
9,315.31,318.31,114,1
16,295.84,315.31,97,1
15,295.84,300.14,97,1
3,318.26,319.26,114,1
2,319.29,320.29,115,0
6,318.98,318.98,116,13
7,318.98,321.58,116,13
10,300.44,318.98,101,13
11,300.44,306.35,101,13
1,321.58,322.58,116,13
8,316.73,319.23,117,11
9,319.23,322.73,117,11
12,293.14,316.73,95,11
13,293.14,297.09,95,11
3,322.68,323.68,117,11
4,323.32,323.32,118,7
5,323.32,324.52,118,7
12,302.97,323.32,103,7
13,302.97,306.92,103,7
2,324.49,325.49,118,7
6,321.96,321.96,119,5
7,321.96,327.66,119,5
16,301.75,321.96,102,5
15,301.75,306.05,102,5
8,320.64,320.64,120,3
9,320.64,327.94,120,3
12,297.15,320.64,98,3
13,297.15,301.10,98,3
1,327.66,328.66,119,5
3,327.92,328.92,120,3
16,309.38,309.38,108,6
15,309.38,313.68,108,6
2,329.68,330.68,122,6
6,324.82,327.32,123,2
7,327.32,331.62,123,2
10,306.38,324.82,105,2
11,306.38,312.29,105,2
1,331.05,332.05,123,2
10,314.97,314.97,112,12
11,314.97,320.88,112,12
3,333.16,334.16,125,12
2,334.24,335.24,126,0
6,334.58,334.58,127,8
7,334.58,335.58,127,8
12,313.21,334.58,110,8
13,313.21,317.16,110,8
1,334.60,335.60,127,8
4,335.36,335.36,2,4
5,335.36,336.66,2,4
16,313.89,335.36,111,4
15,313.89,318.19,111,4
1,336.01,337.01,1,0
2,336.65,337.65,2,4
12,317.17,317.17,113,9
13,317.17,321.12,113,9
3,338.43,339.43,3,9
6,331.31,333.81,4,10
7,333.81,339.61,4,10
12,307.48,331.31,107,10
13,307.48,311.43,107,10
1,339.49,340.49,4,10
2,341.03,342.03,5,0
6,339.12,339.12,6,1
7,339.12,343.62,6,1
16,318.31,339.12,114,1
15,318.31,322.61,114,1
1,342.93,343.93,6,1
8,343.91,343.91,7,11
9,343.91,344.51,7,11
16,322.73,343.91,117,11
15,322.73,327.03,117,11
3,344.44,345.44,7,11
4,343.49,345.99,8,13
5,345.99,346.29,8,13
12,321.58,343.49,116,13
13,321.58,325.53,116,13
2,346.28,347.28,8,13
6,344.43,344.43,10,7
7,344.43,347.83,10,7
10,324.52,344.43,118,7
11,324.52,330.44,118,7
1,347.82,348.82,10,7
2,349.19,350.19,11,0
8,349.89,349.89,13,5
9,349.89,351.19,13,5
12,327.66,349.89,119,5
13,327.66,331.61,119,5
3,351.13,352.13,13,5
6,348.90,348.90,14,6
7,348.90,353.20,14,6
10,330.44,348.90,122,6
